id,date,TimeGPT
FOODS_1_092_TX_3_evaluation,2016-05-09,0.6423545
FOODS_1_092_TX_3_evaluation,2016-05-10,0.7999923
FOODS_1_092_TX_3_evaluation,2016-05-11,0.9208256
FOODS_1_092_TX_3_evaluation,2016-05-12,0.95267177
FOODS_1_092_TX_3_evaluation,2016-05-13,1.0754486
FOODS_1_092_TX_3_evaluation,2016-05-14,1.2168009
FOODS_1_092_TX_3_evaluation,2016-05-15,0.7261727
FOODS_1_092_TX_3_evaluation,2016-05-16,0.6621839
FOODS_1_092_TX_3_evaluation,2016-05-17,0.5642005
FOODS_1_092_TX_3_evaluation,2016-05-18,0.74712145
FOODS_1_092_TX_3_evaluation,2016-05-19,0.9367616
FOODS_1_092_TX_3_evaluation,2016-05-20,0.96929395
FOODS_1_092_TX_3_evaluation,2016-05-21,0.9264363
FOODS_1_092_TX_3_evaluation,2016-05-22,0.71041226
FOODS_3_526_WI_1_evaluation,2016-05-09,0.8788972
FOODS_3_526_WI_1_evaluation,2016-05-10,0.90280986
FOODS_3_526_WI_1_evaluation,2016-05-11,0.9582293
FOODS_3_526_WI_1_evaluation,2016-05-12,1.070436
FOODS_3_526_WI_1_evaluation,2016-05-13,1.4332137
FOODS_3_526_WI_1_evaluation,2016-05-14,1.7306826
FOODS_3_526_WI_1_evaluation,2016-05-15,1.250592
FOODS_3_526_WI_1_evaluation,2016-05-16,0.9889784
FOODS_3_526_WI_1_evaluation,2016-05-17,0.6445627
FOODS_3_526_WI_1_evaluation,2016-05-18,0.78366876
FOODS_3_526_WI_1_evaluation,2016-05-19,1.0850258
FOODS_3_526_WI_1_evaluation,2016-05-20,1.285172
FOODS_3_526_WI_1_evaluation,2016-05-21,1.3470397
FOODS_3_526_WI_1_evaluation,2016-05-22,1.2421095
FOODS_3_538_WI_2_evaluation,2016-05-09,1.8560314
FOODS_3_538_WI_2_evaluation,2016-05-10,1.7682225
FOODS_3_538_WI_2_evaluation,2016-05-11,1.7125359
FOODS_3_538_WI_2_evaluation,2016-05-12,1.7620173
FOODS_3_538_WI_2_evaluation,2016-05-13,2.0674214
FOODS_3_538_WI_2_evaluation,2016-05-14,2.140193
FOODS_3_538_WI_2_evaluation,2016-05-15,1.83227
FOODS_3_538_WI_2_evaluation,2016-05-16,1.8509779
FOODS_3_538_WI_2_evaluation,2016-05-17,1.5601262
FOODS_3_538_WI_2_evaluation,2016-05-18,1.5404819
FOODS_3_538_WI_2_evaluation,2016-05-19,1.7060332
FOODS_3_538_WI_2_evaluation,2016-05-20,1.9002304
