id,item_id,dept_id,cat_id,store_id,state_id,date,sales,weekday,wm_yr_wk,event_type_1,event_type_2,sell_price,event_sporting,event_cultural,event_national,event_religious,y_pred
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-09,1,Monday,11615,,,3.54,0,0,0,0,2.3939035
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-10,3,Tuesday,11615,,,3.54,0,0,0,0,2.3809652
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-11,2,Wednesday,11615,,,3.54,0,0,0,0,2.3272088
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-12,1,Thursday,11615,,,3.54,0,0,0,0,2.270062
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-13,1,Friday,11615,,,3.54,0,0,0,0,2.3399534
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-14,2,Saturday,11616,,,3.54,0,0,0,0,2.6500456
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-15,1,Sunday,11616,,,3.54,0,0,0,0,2.45814
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-16,3,Monday,11616,,,3.54,0,0,0,0,2.2567363
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-17,2,Tuesday,11616,,,3.54,0,0,0,0,2.204771
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-18,2,Wednesday,11616,,,3.54,0,0,0,0,2.1538527
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-19,3,Thursday,11616,,,3.54,0,0,0,0,2.1008432
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-20,2,Friday,11616,,,3.54,0,0,0,0,2.202048
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-21,0,Saturday,11617,,,3.54,0,0,0,0,2.4879742
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-22,2,Sunday,11617,,,3.54,0,0,0,0,2.3429923
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-09,5,Monday,11615,,,2.98,0,0,0,0,1.9236708
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-10,0,Tuesday,11615,,,2.98,0,0,0,0,1.8546835
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-11,2,Wednesday,11615,,,2.98,0,0,0,0,1.9284636
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-12,2,Thursday,11615,,,2.98,0,0,0,0,1.7176429
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-13,3,Friday,11615,,,2.98,0,0,0,0,1.3770312
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-14,0,Saturday,11616,,,2.98,0,0,0,0,1.4532912
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-15,3,Sunday,11616,,,2.98,0,0,0,0,1.5219519
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-16,3,Monday,11616,,,2.98,0,0,0,0,1.55025
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-17,0,Tuesday,11616,,,2.98,0,0,0,0,1.465832
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-18,0,Wednesday,11616,,,2.98,0,0,0,0,1.6224087
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-19,3,Thursday,11616,,,2.98,0,0,0,0,1.5279126
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-20,1,Friday,11616,,,2.98,0,0,0,0,1.2740116
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-21,1,Saturday,11617,,,2.98,0,0,0,0,1.3366528
FOODS_1_044_CA_3_evaluation,FOODS_1_044,FOODS_1,FOODS,CA_3,CA,2016-05-22,3,Sunday,11617,,,2.98,0,0,0,0,1.4528899
FOODS_1_048_CA_3_evaluation,FOODS_1_048,FOODS_1,FOODS,CA_3,CA,2016-05-09,0,Monday,11615,,,5.98,0,0,0,0,1.0574619
FOODS_1_048_CA_3_evaluation,FOODS_1_048,FOODS_1,FOODS,CA_3,CA,2016-05-10,0,Tuesday,11615,,,5.98,0,0,0,0,1.0463281
